,tru_126,tru_127N,tru_127C,tru_128N,tru_128C,tru_129N,tru_129C,tru_130N,tru_130C,tru_131N
obs_126,1.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 obs_127N,0.000,1.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000
 obs_127C,0.083,0.000,1.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000
 obs_128N,0.000,0.078,0.000,1.000,0.000,0.015,0.000,0.000,0.000,0.000
 obs_128C,0.003,0.000,0.069,0.000,1.000,0.000,0.026,0.000,0.000,0.000
 obs_129N,0.000,0.001,0.000,0.063,0.000,1.000,0.000,0.022,0.000,0.001
 obs_129C,0.000,0.000,0.001,0.000,0.057,0.000,1.000,0.000,0.031,0.000
 obs_130N,0.000,0.000,0.000,0.000,0.000,0.057,0.000,1.000,0.000,0.029
 obs_130C,0.000,0.000,0.000,0.000,0.001,0.000,0.048,0.000,1.000,0.000
 obs_131N,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.046,0.000,1.000
